ID,Name,LongName,photoUrl,playerUrl,Nationality,Age,Club,Contract,Positions,Preferred Foot,Best Position,Joined,Loan Date End,W/F,SM,A/W,D/W,IR,Hits,Weight_kg,Height_cm,Value_eur,Release Clause_eur,Wage_eur
155862,Sergio Ramos,Sergio Ramos García,https://cdn.sofifa.com/players/155/862/21_60.png,http://sofifa.com/player/155862/sergio-ramos-garcia/210006/,Spain,34,Real Madrid,2005 ~ 2021,CB,Right,CB,2005-08-01,,3 ★,3★,High,Medium,4 ★,212.0,82,184.0,33500000.0,50200000.0,300000.0
153079,S. Agüero,Sergio Agüero,https://cdn.sofifa.com/players/153/079/21_60.png,http://sofifa.com/player/153079/sergio-aguero/210006/,Argentina,32,Manchester City,2011 ~ 2021,ST,Right,ST,2011-07-28,,4 ★,4★,High,Medium,4 ★,154.0,70,173.0,83500000.0,98100000.0,300000.0
202652,R. Sterling,Raheem Sterling,https://cdn.sofifa.com/players/202/652/21_60.png,http://sofifa.com/player/202652/raheem-sterling/210006/,England,25,Manchester City,2015 ~ 2023,"LW, RW",Right,LW,2015-07-14,,3 ★,4★,High,Medium,3 ★,205.0,69,170.0,114500000.0,139600000.0,270000.0
215914,N. Kanté,N'Golo Kanté,https://cdn.sofifa.com/players/215/914/21_60.png,http://sofifa.com/player/215914/ngolo-kante/210006/,France,29,Chelsea,2016 ~ 2023,"CDM, CM",Right,CDM,2016-07-16,,3 ★,2★,Medium,High,3 ★,202.0,70,168.0,78000000.0,96900000.0,190000.0
212622,J. Kimmich,Joshua Kimmich,https://cdn.sofifa.com/players/212/622/21_60.png,http://sofifa.com/player/212622/joshua-kimmich/210006/,Germany,25,FC Bayern München,2015 ~ 2023,"CDM, RB",Right,CDM,2015-07-01,,4 ★,3★,High,Medium,3 ★,339.0,73,176.0,103000000.0,112100000.0,145000.0
211110,P. Dybala,Paulo Dybala,https://cdn.sofifa.com/players/211/110/21_60.png,http://sofifa.com/player/211110/paulo-dybala/210006/,Argentina,26,Juventus,2015 ~ 2022,"CF, CAM",Left,CAM,2015-07-01,,3 ★,4★,Medium,Medium,3 ★,408.0,75,177.0,109000000.0,122500000.0,190000.0
210257,Ederson,Ederson Santana de Moraes,https://cdn.sofifa.com/players/210/257/21_60.png,http://sofifa.com/player/210257/ederson-santana-de-moraes/210006/,Brazil,26,Manchester City,2017 ~ 2024,GK,Left,GK,2017-07-01,,3 ★,1★,Medium,Medium,2 ★,103.0,86,188.0,92000000.0,103000000.0,195000.0
202126,H. Kane,Harry Kane,https://cdn.sofifa.com/players/202/126/21_60.png,http://sofifa.com/player/202126/harry-kane/210006/,England,26,Tottenham Hotspur,2010 ~ 2024,ST,Right,ST,2010-07-01,,4 ★,3★,High,High,3 ★,332.0,89,188.0,109000000.0,140200000.0,220000.0
162835,S. Handanovič,Samir Handanovič,https://cdn.sofifa.com/players/162/835/21_60.png,http://sofifa.com/player/162835/samir-handanovic/210006/,Slovenia,35,Inter,2012 ~ 2021,GK,Right,GK,2012-07-01,,3 ★,1★,Medium,Medium,3 ★,86.0,92,193.0,10000000.0,27200000.0,100000.0
201024,K. Koulibaly,Kalidou Koulibaly,https://cdn.sofifa.com/players/201/024/21_60.png,http://sofifa.com/player/201024/kalidou-koulibaly/210006/,Senegal,29,Napoli,2014 ~ 2023,CB,Right,CB,2014-07-01,,3 ★,2★,Medium,High,3 ★,173.0,89,187.0,76500000.0,85000000.0,140000.0
183277,E. Hazard,Eden Hazard,https://cdn.sofifa.com/players/183/277/21_60.png,http://sofifa.com/player/183277/eden-hazard/210006/,Belgium,29,Real Madrid,2019 ~ 2024,"LW, ST",Right,LW,2019-07-01,,4 ★,4★,High,Medium,4 ★,246.0,74,175.0,89500000.0,118900000.0,350000.0
182521,T. Kroos,Toni Kroos,https://cdn.sofifa.com/players/182/521/21_60.png,http://sofifa.com/player/182521/toni-kroos/210006/,Germany,30,Real Madrid,2014 ~ 2023,CM,Right,CM,2014-07-17,,5 ★,3★,Medium,Medium,4 ★,161.0,76,183.0,87500000.0,112800000.0,310000.0
194765,A. Griezmann,Antoine Griezmann,https://cdn.sofifa.com/players/194/765/21_60.png,http://sofifa.com/player/194765/antoine-griezmann/210006/,France,29,FC Barcelona,2019 ~ 2024,"ST, CF, LW",Left,ST,2019-07-12,,3 ★,4★,Medium,Medium,4 ★,396.0,73,176.0,79500000.0,103500000.0,290000.0
233049,J. Sancho,Jadon Sancho,https://cdn.sofifa.com/players/233/049/21_60.png,http://sofifa.com/player/233049/jadon-sancho/210006/,England,20,Borussia Dortmund,2017 ~ 2023,"RM, LM, CAM",Right,CAM,2017-08-31,,3 ★,5★,High,Medium,3 ★,1100.0,76,180.0,124000000.0,132100000.0,82000.0
231281,T. Alexander-Arnold,Trent Alexander-Arnold,https://cdn.sofifa.com/players/231/281/21_60.png,http://sofifa.com/player/231281/trent-alexander-arnold/210006/,England,21,Liverpool,2015 ~ 2024,RB,Right,RB,2015-10-07,,4 ★,3★,High,Medium,2 ★,433.0,69,180.0,114000000.0,115500000.0,110000.0
218667,Bernardo Silva,Bernardo Mota Carvalho e Silva,https://cdn.sofifa.com/players/218/667/21_60.png,http://sofifa.com/player/218667/bernardo-mota-carvalho-e-silva/210006/,Portugal,25,Manchester City,2017 ~ 2025,"RW, CAM, CM",Left,RW,2017-07-01,,3 ★,4★,High,High,2 ★,242.0,64,173.0,95000000.0,115500000.0,230000.0
216267,A. Robertson,Andrew Robertson,https://cdn.sofifa.com/players/216/267/21_60.png,http://sofifa.com/player/216267/andrew-robertson/210006/,Scotland,26,Liverpool,2017 ~ 2024,LB,Left,LB,2017-07-21,,2 ★,3★,High,High,3 ★,206.0,64,178.0,90500000.0,102000000.0,155000.0
212218,A. Laporte,Aymeric Laporte,https://cdn.sofifa.com/players/212/218/21_60.png,http://sofifa.com/player/212218/aymeric-laporte/210006/,France,26,Manchester City,2018 ~ 2024,CB,Left,CB,2018-01-30,,3 ★,2★,Medium,Medium,2 ★,177.0,85,189.0,92500000.0,107800000.0,200000.0
212198,Bruno Fernandes,Bruno Miguel Borges Fernandes,https://cdn.sofifa.com/players/212/198/21_60.png,http://sofifa.com/player/212198/bruno-miguel-borges-fernandes/210006/,Portugal,25,Manchester United,2020 ~ 2025,"CAM, CM",Right,CAM,2020-01-30,,4 ★,4★,High,High,2 ★,1500.0,69,179.0,105500000.0,124400000.0,195000.0
209499,Fabinho,Fábio Henrique Tavares,https://cdn.sofifa.com/players/209/499/21_60.png,http://sofifa.com/player/209499/fabio-henrique-tavares/210006/,Brazil,26,Liverpool,2018 ~ 2023,CDM,Right,CDM,2018-07-01,,2 ★,3★,Medium,High,3 ★,198.0,78,188.0,88500000.0,104900000.0,155000.0
200104,H. Son,Heung Min Son,https://cdn.sofifa.com/players/200/104/21_60.png,http://sofifa.com/player/200104/heung-min-son/210006/,Korea Republic,27,Tottenham Hotspur,2015 ~ 2023,"LM, CF",Right,LM,2015-08-28,,5 ★,4★,High,High,3 ★,459.0,78,183.0,85000000.0,99800000.0,165000.0
201942,Roberto Firmino,Roberto Firmino Barbosa de Oliveira,https://cdn.sofifa.com/players/201/942/21_60.png,http://sofifa.com/player/201942/roberto-firmino-barbosa-de-oliveira/210006/,Brazil,28,Liverpool,2015 ~ 2023,CF,Right,CF,2015-07-06,,4 ★,5★,High,High,3 ★,173.0,76,181.0,81500000.0,96200000.0,190000.0
193041,K. Navas,Keylor Navas,https://cdn.sofifa.com/players/193/041/21_60.png,http://sofifa.com/player/193041/keylor-navas/210006/,Costa Rica,33,Paris Saint-Germain,2019 ~ 2023,GK,Right,GK,2019-09-02,,3 ★,1★,Medium,Medium,3 ★,117.0,80,185.0,26000000.0,50000000.0,110000.0
138956,G. Chiellini,Giorgio Chiellini,https://cdn.sofifa.com/players/138/956/21_60.png,http://sofifa.com/player/138956/giorgio-chiellini/210006/,Italy,35,Juventus,2005 ~ 2021,CB,Left,CB,2005-07-01,,3 ★,2★,Medium,High,4 ★,130.0,85,187.0,21000000.0,25600000.0,95000.0
189511,Sergio Busquets,Sergio Busquets Burgos,https://cdn.sofifa.com/players/189/511/21_60.png,http://sofifa.com/player/189511/sergio-busquets-burgos/210006/,Spain,31,FC Barcelona,2008 ~ 2023,"CDM, CM",Right,CDM,2008-09-01,,3 ★,3★,Medium,Medium,4 ★,119.0,76,189.0,56000000.0,77900000.0,240000.0
188567,P. Aubameyang,Pierre-Emerick Aubameyang,https://cdn.sofifa.com/players/188/567/21_60.png,http://sofifa.com/player/188567/pierre-emerick-aubameyang/210006/,Gabon,31,Arsenal,2018 ~ 2023,"ST, LW",Right,ST,2018-01-31,,4 ★,4★,High,High,3 ★,209.0,80,187.0,67500000.0,85500000.0,170000.0
186153,W. Szczęsny,Wojciech Szczęsny,https://cdn.sofifa.com/players/186/153/21_60.png,http://sofifa.com/player/186153/wojciech-szczesny/210006/,Poland,30,Juventus,2017 ~ 2024,GK,Right,GK,2017-07-19,,3 ★,1★,Medium,Medium,3 ★,84.0,90,195.0,53000000.0,56100000.0,105000.0
183898,A. Di María,Ángel Di María,https://cdn.sofifa.com/players/183/898/21_60.png,http://sofifa.com/player/183898/angel-di-maria/210006/,Argentina,32,Paris Saint-Germain,2015 ~ 2021,"RW, LW",Left,RW,2015-08-06,,2 ★,5★,High,Medium,4 ★,187.0,69,180.0,63000000.0,72200000.0,160000.0
177003,L. Modrić,Luka Modrić,https://cdn.sofifa.com/players/177/003/21_60.png,http://sofifa.com/player/177003/luka-modric/210006/,Croatia,34,Real Madrid,2012 ~ 2021,CM,Right,CM,2012-08-01,,4 ★,4★,High,Medium,4 ★,165.0,66,172.0,36500000.0,50200000.0,260000.0
176580,L. Suárez,Luis Suárez,https://cdn.sofifa.com/players/176/580/21_60.png,http://sofifa.com/player/176580/luis-suarez/210006/,Uruguay,33,Atlético Madrid,2020 ~ 2022,ST,Right,ST,2020-09-25,,4 ★,3★,High,Medium,5 ★,203.0,83,182.0,51000000.0,64600000.0,115000.0
167948,H. Lloris,Hugo Lloris,https://cdn.sofifa.com/players/167/948/21_60.png,http://sofifa.com/player/167948/hugo-lloris/210006/,France,33,Tottenham Hotspur,2012 ~ 2022,GK,Left,GK,2012-08-31,,1 ★,1★,Medium,Medium,4 ★,65.0,82,188.0,26000000.0,51300000.0,125000.0
192387,C. Immobile,Ciro Immobile,https://cdn.sofifa.com/players/192/387/21_60.png,http://sofifa.com/player/192387/ciro-immobile/210006/,Italy,30,Lazio,2016 ~ 2025,ST,Right,ST,2016-07-27,,4 ★,3★,High,Medium,3 ★,336.0,85,185.0,78000000.0,82500000.0,125000.0
189596,T. Müller,Thomas Müller,https://cdn.sofifa.com/players/189/596/21_60.png,http://sofifa.com/player/189596/thomas-muller/210006/,Germany,30,FC Bayern München,2008 ~ 2023,"CAM, RM, RW",Right,CAM,2008-08-10,,4 ★,3★,High,High,4 ★,126.0,75,186.0,65500000.0,69300000.0,130000.0
193080,De Gea,David De Gea Quintana,https://cdn.sofifa.com/players/193/080/21_60.png,http://sofifa.com/player/193080/david-de-gea-quintana/210006/,Spain,29,Manchester United,2011 ~ 2023,GK,Right,GK,2011-07-01,,3 ★,1★,Medium,Medium,4 ★,313.0,82,192.0,46500000.0,59900000.0,150000.0
204963,Carvajal,Daniel Carvajal Ramos,https://cdn.sofifa.com/players/204/963/21_60.png,http://sofifa.com/player/204963/daniel-carvajal-ramos/210006/,Spain,28,Real Madrid,2013 ~ 2022,RB,Right,RB,2013-07-05,,3 ★,3★,High,High,3 ★,124.0,73,173.0,61500000.0,77900000.0,230000.0
201535,R. Varane,Raphaël Varane,https://cdn.sofifa.com/players/201/535/21_60.png,http://sofifa.com/player/201535/raphael-varane/210006/,France,27,Real Madrid,2011 ~ 2022,CB,Right,CB,2011-07-01,,3 ★,2★,Medium,High,3 ★,154.0,81,191.0,72500000.0,98800000.0,220000.0
199556,M. Verratti,Marco Verratti,https://cdn.sofifa.com/players/199/556/21_60.png,http://sofifa.com/player/199556/marco-verratti/210006/,Italy,27,Paris Saint-Germain,2012 ~ 2024,"CM, CDM",Right,CM,2012-07-18,,4 ★,4★,Medium,High,3 ★,145.0,60,165.0,77500000.0,96300000.0,135000.0
195864,P. Pogba,Paul Pogba,https://cdn.sofifa.com/players/195/864/21_60.png,http://sofifa.com/player/195864/paul-pogba/210006/,France,27,Manchester United,2016 ~ 2021,"CM, CDM",Right,CM,2016-08-09,,4 ★,5★,High,Medium,4 ★,538.0,84,191.0,77500000.0,98800000.0,190000.0
208830,J. Vardy,Jamie Vardy,https://cdn.sofifa.com/players/208/830/21_60.png,http://sofifa.com/player/208830/jamie-vardy/210006/,England,33,Leicester City,2012 ~ 2023,ST,Right,ST,2012-05-01,,3 ★,3★,High,High,3 ★,182.0,74,179.0,43500000.0,53200000.0,160000.0
152729,Piqué,Gerard Piqué Bernabeu,https://cdn.sofifa.com/players/152/729/21_60.png,http://sofifa.com/player/152729/gerard-pique-bernabeu/210006/,Spain,33,FC Barcelona,2008 ~ 2022,CB,Right,CB,2008-07-01,,3 ★,2★,High,Medium,4 ★,175.0,85,194.0,32500000.0,43100000.0,220000.0
178603,M. Hummels,Mats Hummels,https://cdn.sofifa.com/players/178/603/21_60.png,http://sofifa.com/player/178603/mats-hummels/210006/,Germany,31,Borussia Dortmund,2019 ~ 2022,CB,Right,CB,2019-07-01,,3 ★,3★,High,High,4 ★,101.0,94,191.0,46500000.0,56100000.0,95000.0
177683,Y. Sommer,Yann Sommer,https://cdn.sofifa.com/players/177/683/21_60.png,http://sofifa.com/player/177683/yann-sommer/210006/,Switzerland,31,Borussia Mönchengladbach,2014 ~ 2023,GK,Right,GK,2014-07-01,,4 ★,1★,Medium,Medium,3 ★,45.0,79,183.0,36000000.0,48500000.0,55000.0
168542,David Silva,David Josué Jiménez Silva,https://cdn.sofifa.com/players/168/542/21_60.png,http://sofifa.com/player/168542/david-josue-jimenez-silva/210006/,Spain,34,Real Sociedad,2020 ~ 2022,"CAM, CM",Left,CAM,2020-08-17,,2 ★,4★,High,Medium,4 ★,103.0,67,173.0,32000000.0,47300000.0,58000.0
143076,A. Gómez,Alejandro Gómez,https://cdn.sofifa.com/players/143/076/21_60.png,http://sofifa.com/player/143076/alejandro-gomez/210006/,Argentina,32,Atalanta,2014 ~ 2022,"CAM, CF, ST",Right,CAM,2014-09-02,,4 ★,4★,High,Medium,3 ★,377.0,68,167.0,54000000.0,58700000.0,100000.0
189332,Jordi Alba,Jordi Alba Ramos,https://cdn.sofifa.com/players/189/332/21_60.png,http://sofifa.com/player/189332/jordi-alba-ramos/210006/,Spain,31,FC Barcelona,2012 ~ 2024,LB,Left,LB,2012-07-01,,3 ★,3★,High,Medium,3 ★,99.0,68,170.0,49500000.0,65600000.0,220000.0
183711,J. Henderson,Jordan Henderson,https://cdn.sofifa.com/players/183/711/21_60.png,http://sofifa.com/player/183711/jordan-henderson/210006/,England,30,Liverpool,2011 ~ 2023,"CDM, CM",Right,CDM,2011-06-09,,3 ★,3★,High,High,2 ★,194.0,80,182.0,57000000.0,67500000.0,140000.0
231866,Rodri,Rodrigo Hernández Cascante,https://cdn.sofifa.com/players/231/866/21_60.png,http://sofifa.com/player/231866/rodrigo-hernandez-cascante/210006/,Spain,24,Manchester City,2019 ~ 2024,"CDM, CM",Right,CDM,2019-07-04,,4 ★,3★,Medium,High,2 ★,161.0,82,191.0,66500000.0,84700000.0,145000.0
223848,S. Milinković-Savić,Sergej Milinković-Savić,https://cdn.sofifa.com/players/223/848/21_60.png,http://sofifa.com/player/223848/sergej-milinkovic-savic/210006/,Serbia,25,Lazio,2015 ~ 2024,"CM, CDM, CAM",Right,CM,2015-08-06,,4 ★,4★,High,Medium,2 ★,403.0,76,191.0,74500000.0,87000000.0,95000.0
202556,M. Depay,Memphis Depay,https://cdn.sofifa.com/players/202/556/21_60.png,http://sofifa.com/player/202556/memphis-depay/210006/,Netherlands,26,Olympique Lyonnais,2017 ~ 2021,"CF, LW, CAM",Right,CAM,2017-01-20,,3 ★,5★,High,Low,3 ★,414.0,78,176.0,71500000.0,95800000.0,115000.0
235790,K. Havertz,Kai Havertz,https://cdn.sofifa.com/players/235/790/21_60.png,http://sofifa.com/player/235790/kai-havertz/210006/,Germany,21,Chelsea,2020 ~ 2025,"CAM, RM, CF",Left,CAM,2020-09-04,,4 ★,4★,Medium,Medium,3 ★,593.0,83,188.0,121000000.0,119700000.0,105000.0
235243,M. de Ligt,Matthijs de Ligt,https://cdn.sofifa.com/players/235/243/21_60.png,http://sofifa.com/player/235243/matthijs-de-ligt/210006/,Netherlands,20,Juventus,2019 ~ 2024,CB,Right,CB,2019-07-18,,4 ★,2★,Medium,High,3 ★,374.0,89,189.0,99000000.0,91600000.0,81000.0
232363,M. Škriniar,Milan Škriniar,https://cdn.sofifa.com/players/232/363/21_60.png,http://sofifa.com/player/232363/milan-skriniar/210006/,Slovakia,25,Inter,2017 ~ 2023,CB,Right,CB,2017-07-07,,4 ★,2★,Medium,High,1 ★,245.0,80,188.0,67000000.0,79000000.0,130000.0
231677,M. Rashford,Marcus Rashford,https://cdn.sofifa.com/players/231/677/21_60.png,http://sofifa.com/player/231677/marcus-rashford/210006/,England,22,Manchester United,2014 ~ 2023,"LM, ST",Right,RM,2014-07-01,,4 ★,5★,High,Medium,2 ★,3200.0,70,186.0,86500000.0,111300000.0,150000.0
230621,G. Donnarumma,Gianluigi Donnarumma,https://cdn.sofifa.com/players/230/621/21_60.png,http://sofifa.com/player/230621/gianluigi-donnarumma/210006/,Italy,21,Milan,2015 ~ 2021,GK,Right,GK,2015-07-01,,3 ★,1★,Medium,Medium,3 ★,266.0,90,196.0,93500000.0,78900000.0,34000.0
206113,S. Gnabry,Serge Gnabry,https://cdn.sofifa.com/players/206/113/21_60.png,http://sofifa.com/player/206113/serge-gnabry/210006/,Germany,24,FC Bayern München,2017 ~ 2023,"RM, LM, RW",Right,RM,2017-07-01,,4 ★,4★,High,Medium,3 ★,299.0,75,175.0,70000000.0,81900000.0,100000.0
222492,L. Sané,Leroy Sané,https://cdn.sofifa.com/players/222/492/21_60.png,http://sofifa.com/player/222492/leroy-sane/210006/,Germany,24,FC Bayern München,2020 ~ 2025,LM,Left,LM,2020-07-15,,3 ★,4★,High,Medium,2 ★,309.0,75,184.0,81500000.0,88800000.0,100000.0
208670,H. Ziyech,Hakim Ziyech,https://cdn.sofifa.com/players/208/670/21_60.png,http://sofifa.com/player/208670/hakim-ziyech/210006/,Morocco,27,Chelsea,2020 ~ 2025,"CAM, RW",Left,CAM,2020-07-01,,2 ★,5★,High,High,3 ★,215.0,65,181.0,62000000.0,86900000.0,140000.0
220440,C. Lenglet,Clément Lenglet,https://cdn.sofifa.com/players/220/440/21_60.png,http://sofifa.com/player/220440/clement-lenglet/210006/,France,25,FC Barcelona,2018 ~ 2023,CB,Left,CB,2018-07-12,,4 ★,2★,Medium,High,2 ★,265.0,81,186.0,67000000.0,94600000.0,190000.0
207865,Marquinhos,Marcos Aoás Corrêa,https://cdn.sofifa.com/players/207/865/21_60.png,http://sofifa.com/player/207865/marcos-aoas-correa/210006/,Brazil,26,Paris Saint-Germain,2013 ~ 2024,"CB, CDM",Right,CB,2013-07-19,,3 ★,3★,Medium,High,3 ★,211.0,75,183.0,66000000.0,84700000.0,115000.0
204485,R. Mahrez,Riyad Mahrez,https://cdn.sofifa.com/players/204/485/21_60.png,http://sofifa.com/player/204485/riyad-mahrez/210006/,Algeria,29,Manchester City,2018 ~ 2023,"RW, RM",Left,RW,2018-07-10,,4 ★,5★,Medium,Medium,3 ★,112.0,67,179.0,53000000.0,69400000.0,210000.0
210243,Ricardo Pereira,Ricardo Barbosa Pereira,https://cdn.sofifa.com/players/210/243/21_60.png,http://sofifa.com/player/210243/ricardo-barbosa-pereira/210006/,Portugal,26,Leicester City,2018 ~ 2023,RB,Right,RB,2018-06-09,,4 ★,3★,High,High,3 ★,203.0,70,175.0,58000000.0,78000000.0,120000.0
212188,T. Werner,Timo Werner,https://cdn.sofifa.com/players/212/188/21_60.png,http://sofifa.com/player/212188/timo-werner/210006/,Germany,24,Chelsea,2020 ~ 2025,"ST, LW",Right,ST,2020-07-01,,4 ★,3★,High,Medium,3 ★,337.0,76,180.0,74500000.0,97800000.0,135000.0
189513,Parejo,Daniel Parejo Muñoz,https://cdn.sofifa.com/players/189/513/21_60.png,http://sofifa.com/player/189513/daniel-parejo-munoz/210006/,Spain,31,Villarreal CF,2020 ~ 2024,CM,Right,CM,2020-08-12,,4 ★,3★,Medium,Medium,2 ★,70.0,74,182.0,44000000.0,69300000.0,59000.0
201399,M. Icardi,Mauro Icardi,https://cdn.sofifa.com/players/201/399/21_60.png,http://sofifa.com/player/201399/mauro-icardi/210006/,Argentina,27,Paris Saint-Germain,2020 ~ 2024,ST,Right,ST,2020-06-08,,4 ★,3★,Medium,Medium,3 ★,159.0,75,181.0,63000000.0,86600000.0,135000.0
228702,F. de Jong,Frenkie de Jong,https://cdn.sofifa.com/players/228/702/21_60.png,http://sofifa.com/player/228702/frenkie-de-jong/210006/,Netherlands,23,FC Barcelona,2019 ~ 2024,CM,Right,CM,2019-07-01,,3 ★,4★,Medium,High,3 ★,688.0,74,180.0,81000000.0,107300000.0,190000.0
198219,L. Insigne,Lorenzo Insigne,https://cdn.sofifa.com/players/198/219/21_60.png,http://sofifa.com/player/198219/lorenzo-insigne/210006/,Italy,29,Napoli,2010 ~ 2022,"LW, CF",Right,LW,2010-07-01,,4 ★,4★,High,Medium,3 ★,116.0,59,163.0,53000000.0,63800000.0,120000.0
184087,T. Alderweireld,Toby Alderweireld,https://cdn.sofifa.com/players/184/087/21_60.png,http://sofifa.com/player/184087/toby-alderweireld/210006/,Belgium,31,Tottenham Hotspur,2015 ~ 2023,CB,Right,CB,2015-07-08,,3 ★,2★,Medium,Medium,3 ★,63.0,81,186.0,37000000.0,54200000.0,130000.0
164240,Thiago Silva,Thiago Emiliano da Silva,https://cdn.sofifa.com/players/164/240/21_60.png,http://sofifa.com/player/164240/thiago-emiliano-da-silva/210006/,Brazil,35,Chelsea,2020 ~ 2021,CB,Right,CB,2020-08-28,,3 ★,2★,Medium,High,4 ★,144.0,79,183.0,14500000.0,21900000.0,95000.0
